0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(0, 0, 0, 0)(0, 0, 0)(0, 0, 0, 0)",13.290653624573398,12.754111277342806,12.920396239911074,12.803363140612928,12.783020482738758,13.940571223661745,12.887070191015232,12.93752506676552,12.870440303815679,12.725806656137452,13.157276734292633,13.111076825375529,17.58256850597349,13.234901286047373,13.180452302582411
"(0, 0, 0, 0)(0, 0, 0)(0, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(0, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(0, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(0, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(0, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(0, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(0, 1, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 0)(1, 1, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(0, 0, 0, 1)",-0.18286126000000005,-0.18189337,-0.18041958,3.8473280148797135,0.0,9.570674925949543,0.33055546002368863,0.0,0.0,0.0,0.4983990342591254,0.0,0.0,-0.2,0.0
"(0, 0, 0, 0)(0, 0, 1)(0, 0, 1, 0)",1.3805086846919377,0.3100536127436093,0.0,0.0,1.7670766128566553,0.5020224810368753,8.410168576319881,0.0,0.0,0.0,1.3808724681407791,0.0258868405316972,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(0, 0, 1, 1)",7.335055456973536,5.5638329918794645,4.957776597350109,3.821271751564381,1.4560875229573642,2.3267452446339245,2.8299821744714917,3.7389161372742765,4.3283055848665235,1.4252449957980486,2.2800435590303505,3.2945189271971627,2.826155878674694,2.009291163697041,10.342219954039377
"(0, 0, 0, 0)(0, 0, 1)(0, 1, 0, 0)",4.3422226912243165,7.731280526272907,0.7013995167888483,2.8668459527367265,1.8009460549440863,0.026519211338405943,0.6966964010156168,0.0,-0.08816122517801664,1.0649808070003108,1.3225321895310531,0.7295981374186478,0.5357046195482056,0.7181367620451425,0.017694525124937358
"(0, 0, 0, 0)(0, 0, 1)(0, 1, 0, 1)",0.16410082920368285,-0.03983125818969276,2.032437553071649,0.1268720309754151,0.0,0.24404249078452955,0.0,0.0,0.0,0.0,0.19678389627964574,0.0,0.4375701644312149,0.21628440323215792,0.13775693624975
"(0, 0, 0, 0)(0, 0, 1)(0, 1, 1, 0)",0.014498302660851309,-0.09576540076958184,0.04242286850101835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(0, 1, 1, 1)",14.449302371522085,0.0,0.0858847736351166,0.0,-0.12948497724318858,0.0,0.0,0.0,0.0,0.11537365076884395,0.8428822187165368,0.716164470948759,0.0,-0.09274286488874962,0.0
"(0, 0, 0, 0)(0, 0, 1)(1, 0, 0, 0)",14.179582947961745,5.198211382646293,0.0,1.6493249296998356,0.8652250250539297,0.0,2.14204773261142,0.014220381314422596,1.4559079802607706,0.0,0.0,0.04085035856746783,1.226518342944901,0.0,0.8652075148134989
"(0, 0, 0, 0)(0, 0, 1)(1, 0, 0, 1)",7.06927085320369,14.816318164912575,0.0,0.0,0.0,0.0,1.4146838306579288,0.0,-0.0983253,0.0,0.0,0.0,5.321234107254496,0.4300582664084829,0.0
"(0, 0, 0, 0)(0, 0, 1)(1, 0, 1, 0)",11.785347357420886,0.3259398042944178,0.2611311155247051,0.20393187614620226,0.26401986331076704,0.0,0.0,0.0,0.0,1.476803480128142,0.056698881542042785,-0.06894418306885977,3.5277854951848564,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(1, 0, 1, 1)",0.6020847683464217,-0.017222231988919673,11.183215929054642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699850660184184,0.0,-0.1318987081108804,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(1, 1, 0, 0)",-0.06870091263381377,5.825593534750012,0.0,0.0,5.111180958773243,0.020233744456767767,0.0,0.0,0.0,0.0,0.0,0.0,1.210606477873342,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(1, 1, 0, 1)",0.02473030863965844,10.60395850872484,0.0,0.02549158863799576,0.02933529750880672,0.0,0.045744493434039836,0.04592891325362235,0.02924266666425438,0.02544407381315973,0.025528014360550223,0.0,0.7366081934753971,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(1, 1, 1, 0)",-0.17987158673885462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 0, 1)(1, 1, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(0, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
